pollster,state,party,hypothetical,end_date,duration,numeric_grade,pollscore,transparency_score,candidate_name,pct
OnMessage Inc.,Pennsylvania,DEM,FALSE,2024-10-31,2,1.1,0.2,1,Kamala Harris,47
OnMessage Inc.,Pennsylvania,REP,FALSE,2024-10-31,2,1.1,0.2,1,Donald Trump,49
OnMessage Inc.,Michigan,DEM,FALSE,2024-10-31,2,1.1,0.2,1,Kamala Harris,48
OnMessage Inc.,Michigan,REP,FALSE,2024-10-31,2,1.1,0.2,1,Donald Trump,48
OnMessage Inc.,Wisconsin,DEM,FALSE,2024-10-31,2,1.1,0.2,1,Kamala Harris,47
OnMessage Inc.,Wisconsin,REP,FALSE,2024-10-31,2,1.1,0.2,1,Donald Trump,48
OnMessage Inc.,Arizona,DEM,FALSE,2024-10-31,2,1.1,0.2,1,Kamala Harris,47
OnMessage Inc.,Arizona,REP,FALSE,2024-10-31,2,1.1,0.2,1,Donald Trump,50
Redfield & Wilton Strategies,Arizona,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Arizona,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Arizona,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Arizona,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Georgia,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Georgia,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Georgia,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Georgia,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,Michigan,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Michigan,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,47
Redfield & Wilton Strategies,Michigan,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Michigan,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,1
Redfield & Wilton Strategies,Nevada,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,Nevada,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,48
Redfield & Wilton Strategies,Nevada,LIB,FALSE,2024-10-31,3,1.8,0.4,9,Chase Oliver,1
Redfield & Wilton Strategies,Nevada,GRE,FALSE,2024-10-31,3,1.8,0.4,9,Jill Stein,0
Redfield & Wilton Strategies,North Carolina,DEM,FALSE,2024-10-31,3,1.8,0.4,9,Kamala Harris,47
Redfield & Wilton Strategies,North Carolina,REP,FALSE,2024-10-31,3,1.8,0.4,9,Donald Trump,48
